       Cdx2           Gata6           Nanog        Pou5f1 (Oct4)
   2.3360000e+01   2.8000000e+01   1.9480000e+01   1.8330000e+01
   2.0960000e+01   2.3260000e+01   2.6660000e+01   2.1780000e+01
   1.9490000e+01   2.4700000e+01   2.1870000e+01   2.1900000e+01
   2.0160000e+01   2.3260000e+01   2.8000000e+01   2.0850000e+01
   2.0930000e+01   2.0770000e+01   2.3690000e+01   2.1310000e+01
   2.8000000e+01   2.0250000e+01   2.8000000e+01   1.9400000e+01
   2.0660000e+01   2.3050000e+01   2.1860000e+01   2.0900000e+01
   1.9600000e+01   2.0670000e+01   2.5830000e+01   1.9930000e+01
   1.9690000e+01   2.3980000e+01   2.2800000e+01   2.1010000e+01
   1.9600000e+01   2.1300000e+01   2.2830000e+01   2.1140000e+01
   2.0480000e+01   2.0200000e+01   2.5790000e+01   2.0540000e+01
   1.9340000e+01   1.9970000e+01   2.4510000e+01   2.0000000e+01
   1.9770000e+01   1.9980000e+01   2.2850000e+01   2.1130000e+01
   2.2320000e+01   2.2430000e+01   2.1290000e+01   2.1380000e+01
   2.0910000e+01   2.2220000e+01   2.5490000e+01   2.0240000e+01
   2.2290000e+01   1.9210000e+01   2.2400000e+01   1.8440000e+01
   1.9970000e+01   2.0320000e+01   2.7290000e+01   2.1940000e+01
   2.2250000e+01   1.8550000e+01   2.3150000e+01   1.9300000e+01
   1.9770000e+01   2.2030000e+01   2.4740000e+01   2.0880000e+01
   2.8000000e+01   1.8890000e+01   2.8000000e+01   1.8860000e+01
   2.2700000e+01   2.1830000e+01   2.4380000e+01   1.9980000e+01
   2.4870000e+01   2.8000000e+01   1.8260000e+01   1.8140000e+01
   2.0210000e+01   2.2300000e+01   2.2330000e+01   2.1230000e+01
   1.9850000e+01   2.8000000e+01   2.2610000e+01   2.0630000e+01
   2.4500000e+01   1.8380000e+01   2.2010000e+01   1.9830000e+01
   2.0190000e+01   2.0810000e+01   2.1490000e+01   2.1150000e+01
   2.0750000e+01   2.0870000e+01   2.4020000e+01   2.1720000e+01
   1.9410000e+01   1.9780000e+01   1.8360000e+01   2.0000000e+01
   2.2350000e+01   2.0540000e+01   2.6970000e+01   2.2960000e+01
   2.0890000e+01   2.8000000e+01   2.8000000e+01   2.2230000e+01
   2.8000000e+01   1.8780000e+01   2.3440000e+01   1.8400000e+01
   2.4080000e+01   2.0400000e+01   2.8000000e+01   1.7880000e+01
   2.0330000e+01   2.1360000e+01   2.8000000e+01   2.1220000e+01
   2.2330000e+01   1.9310000e+01   2.3360000e+01   1.8960000e+01
   2.8000000e+01   2.1120000e+01   2.2030000e+01   1.8780000e+01
   2.8000000e+01   1.9080000e+01   2.6430000e+01   1.8130000e+01
   2.8000000e+01   2.8000000e+01   1.8410000e+01   1.9010000e+01
   2.4860000e+01   1.9260000e+01   2.3640000e+01   1.8210000e+01
   2.2640000e+01   2.0430000e+01   2.4320000e+01   1.8650000e+01
   2.1740000e+01   2.8000000e+01   2.3040000e+01   2.0540000e+01
   2.0630000e+01   2.2460000e+01   2.6700000e+01   2.0480000e+01
   2.0630000e+01   2.4490000e+01   2.4610000e+01   2.0190000e+01
   1.9830000e+01   2.2170000e+01   2.1490000e+01   2.1150000e+01
   2.0760000e+01   2.8000000e+01   2.8000000e+01   2.1210000e+01
   2.4580000e+01   2.8000000e+01   2.8000000e+01   2.1260000e+01
   2.8000000e+01   1.8330000e+01   2.3240000e+01   1.8520000e+01
   2.3690000e+01   2.8000000e+01   1.8290000e+01   1.7940000e+01
   2.8000000e+01   2.8000000e+01   1.8660000e+01   1.7810000e+01
   2.5190000e+01   2.8000000e+01   1.8370000e+01   1.7660000e+01
   2.8000000e+01   2.8000000e+01   1.8960000e+01   1.8430000e+01
   2.8000000e+01   2.8000000e+01   1.7720000e+01   1.7900000e+01
   2.3050000e+01   1.9270000e+01   2.5370000e+01   1.9250000e+01
   2.2300000e+01   2.8000000e+01   1.7170000e+01   1.9000000e+01
   2.1230000e+01   2.3180000e+01   2.8000000e+01   2.1880000e+01
   2.8000000e+01   2.0020000e+01   2.8000000e+01   1.8130000e+01
   2.4950000e+01   2.3890000e+01   1.9490000e+01   1.8860000e+01
   2.8000000e+01   1.9800000e+01   2.5180000e+01   1.8550000e+01
   2.5180000e+01   2.0020000e+01   2.3570000e+01   1.8380000e+01
   2.8000000e+01   1.9290000e+01   2.8000000e+01   1.8840000e+01
   2.8000000e+01   1.8960000e+01   2.8000000e+01   1.8180000e+01
   2.4650000e+01   2.3670000e+01   2.1080000e+01   1.8480000e+01
   2.8000000e+01   2.0620000e+01   2.6910000e+01   1.8830000e+01
   1.9840000e+01   1.9660000e+01   2.3410000e+01   2.1980000e+01
   2.0070000e+01   2.1130000e+01   2.5560000e+01   2.0120000e+01
   1.9470000e+01   1.9880000e+01   2.6210000e+01   2.0910000e+01
   2.1020000e+01   2.2220000e+01   2.4850000e+01   2.2460000e+01
   2.0100000e+01   2.0400000e+01   2.5150000e+01   2.1580000e+01
